,Location,Venue Latitude,Venue Longitude,geometry
149,Austin,30.49485771917564,-97.65582624958466,"30.49485771917564, -97.65582624958466"
150,Austin,30.48168081085124,-97.82722812750248,"30.48168081085124, -97.82722812750248"
151,Austin,30.230021,-97.790573,"30.230021, -97.790573"
152,Austin,29.557039412143222,-98.66164363232043,"29.557039412143222, -98.66164363232043"
153,Austin,30.175041064472097,-97.82367299703942,"30.175041064472097, -97.82367299703942"
154,Austin,30.01206375407267,-97.86007764887258,"30.01206375407267, -97.86007764887258"
155,Austin,31.052883,-97.454,"31.052883, -97.454"
156,Austin,29.51890749071244,-98.63816153656362,"29.51890749071244, -98.63816153656362"
157,Austin,29.616436,-98.60476899999999,"29.616436, -98.60476899999999"
158,Austin,29.640751737701653,-98.45323948470856,"29.640751737701653, -98.45323948470856"
159,Austin,30.559826,-97.684029,"30.559826, -97.684029"
160,Austin,30.633454999999998,-97.696791,"30.633454999999998, -97.696791"
161,Austin,30.31449043791704,-97.70351173098541,"30.31449043791704, -97.70351173098541"
162,Austin,31.069789,-97.66701,"31.069789, -97.66701"
163,Austin,29.844062,-97.968862,"29.844062, -97.968862"
164,Austin,31.120546,-97.88818,"31.120546, -97.88818"
165,Austin,30.387417,-97.65045,"30.387417, -97.65045"
166,Austin,29.798436022432252,-98.4218144416809,"29.798436022432252, -98.4218144416809"
167,Austin,30.213955855533158,-97.7106651548608,"30.213955855533158, -97.7106651548608"
168,Austin,30.105777602116554,-97.3088509624893,"30.105777602116554, -97.3088509624893"
169,Austin,29.538469036406067,-98.28727064540803,"29.538469036406067, -98.28727064540803"
170,Austin,30.192760909510096,-97.77954032440117,"30.192760909510096, -97.77954032440117"
171,Austin,29.603025,-98.41824,"29.603025, -98.41824"
172,Austin,29.559174859760304,-98.32293663160767,"29.559174859760304, -98.32293663160767"
173,Austin,29.607428999999996,-98.50774399999999,"29.607428999999996, -98.50774399999999"
174,Austin,30.282138647838508,-97.70324943726506,"30.282138647838508, -97.70324943726506"
175,Austin,29.57020514406165,-98.38326108074065,"29.57020514406165, -98.38326108074065"
176,Austin,31.10951568136771,-97.74636611196763,"31.10951568136771, -97.74636611196763"
177,Austin,30.367968899072892,-97.69379905509857,"30.367968899072892, -97.69379905509857"
178,Austin,29.565361476809507,-98.59276476786464,"29.565361476809507, -98.59276476786464"
179,Austin,30.2793693933446,-97.80632905478993,"30.2793693933446, -97.80632905478993"
180,Austin,29.61153489394112,-98.47473199795037,"29.61153489394112, -98.47473199795037"
181,Austin,30.452067534486545,-97.6037079285322,"30.452067534486545, -97.6037079285322"
182,Austin,29.748671715126996,-98.05796422909279,"29.748671715126996, -98.05796422909279"
183,Austin,30.51617745546321,-97.68930103107948,"30.51617745546321, -97.68930103107948"
184,Austin,30.237641468295898,-97.7252599697137,"30.237641468295898, -97.7252599697137"
185,Austin,31.116545,-97.411317,"31.116545, -97.411317"
186,Austin,29.520806,-98.476897,"29.520806, -98.476897"
187,Austin,30.447650247339404,-97.64020897306986,"30.447650247339404, -97.64020897306986"
188,Austin,29.892642507041916,-97.91595644802717,"29.892642507041916, -97.91595644802717"
189,Austin,31.142654384513165,-97.78945027425263,"31.142654384513165, -97.78945027425263"
190,Austin,29.534163019444154,-98.55965249147957,"29.534163019444154, -98.55965249147957"
191,Austin,29.684880560832667,-98.12687089074137,"29.684880560832667, -98.12687089074137"
192,Austin,30.5114000951115,-97.82429127437068,"30.5114000951115, -97.82429127437068"
193,Austin,30.50588,-97.71774,"30.50588, -97.71774"
194,Balch Springs,33.67082544418095,-96.60675536797443,"33.67082544418095, -96.60675536797443"
195,Balch Springs,33.224839,-96.985376,"33.224839, -96.985376"
196,Balch Springs,33.140386015962406,-96.69359624436152,"33.140386015962406, -96.69359624436152"
197,Baytown,29.960941897521742,-93.98103649040742,"29.960941897521742, -93.98103649040742"
198,Baytown,30.134296999999997,-94.015837,"30.134296999999997, -94.015837"
199,Baytown,29.826447,-94.851564,"29.826447, -94.851564"
200,Baytown,29.800376382757616,-94.98083973940444,"29.800376382757616, -94.98083973940444"
201,Baytown,29.685937662347605,-95.15479609456322,"29.685937662347605, -95.15479609456322"
202,Baytown,29.691145000000002,-95.21365,"29.691145000000002, -95.21365"
203,Baytown,29.780075220803116,-95.12433262774611,"29.780075220803116, -95.12433262774611"
204,Baytown,29.77995347100637,-95.1243682479654,"29.77995347100637, -95.1243682479654"
205,Baytown,29.651528270733905,-95.03468446168348,"29.651528270733905, -95.03468446168348"
206,Baytown,29.698311,-95.123347,"29.698311, -95.123347"
207,Baytown,29.820101230050977,-94.90013846137768,"29.820101230050977, -94.90013846137768"
208,Baytown,29.651546478271484,-95.03484344482422,"29.651546478271484, -95.03484344482422"
209,Beaumont,30.16848679313042,-93.23311456240562,"30.16848679313042, -93.23311456240562"
210,Beaumont,30.851536308133763,-93.28937313715446,"30.851536308133763, -93.28937313715446"
